Zaman(s)  	Ucus_Modu      	Gercek_X  	Gercek_Z  	Filtreli_Z  	Roll_PWM  	Pitch_PWM 	Throt_PWM 	Voltaj(V) 
-------------------------------------------------------------------------------------------------------------------
1.00      	KALKIS         	-0.005    	0.481     	0.435       	1497.9    	1499.4    	1362.5    	21.87     
2.01      	KALKIS         	-0.005    	0.938     	0.908       	1501.6    	1493.2    	1361.5    	21.87     
3.01      	KALKIS         	-0.005    	1.239     	1.217       	1498.8    	1506.3    	1365.0    	21.87     
4.02      	KALKIS         	-0.003    	1.429     	1.416       	1500.0    	1498.6    	1366.2    	21.86     
5.02      	ILERI_UÇUŞ     	0.090     	1.538     	1.531       	1499.3    	1479.0    	1361.5    	21.87     
6.03      	ILERI_UÇUŞ     	0.480     	1.591     	1.591       	1503.5    	1484.6    	1361.7    	21.87     
7.04      	ILERI_UÇUŞ     	1.034     	1.607     	1.614       	1499.8    	1497.3    	1367.4    	21.86     
8.04      	ILERI_UÇUŞ     	1.616     	1.602     	1.600       	1499.8    	1501.2    	1363.8    	21.87     
9.04      	ILERI_UÇUŞ     	2.125     	1.586     	1.590       	1503.8    	1513.6    	1366.8    	21.86     
10.05     	ILERI_UÇUŞ     	2.507     	1.567     	1.569       	1503.2    	1507.3    	1376.1    	21.85     
11.05     	ILERI_UÇUŞ     	2.740     	1.549     	1.549       	1497.6    	1513.1    	1369.0    	21.86     
12.06     	ILERI_UÇUŞ     	2.831     	1.530     	1.535       	1496.4    	1511.4    	1369.3    	21.86     
13.06     	ILERI_UÇUŞ     	2.809     	1.516     	1.519       	1500.9    	1509.5    	1372.6    	21.85     
14.07     	ILERI_UÇUŞ     	2.706     	1.505     	1.509       	1498.1    	1504.4    	1366.3    	21.86     
15.07     	ILERI_UÇUŞ     	2.554     	1.497     	1.503       	1502.4    	1501.9    	1361.8    	21.87     
16.08     	ILERI_UÇUŞ     	2.390     	1.495     	1.496       	1499.6    	1502.9    	1360.9    	21.87     
17.09     	ILERI_UÇUŞ     	2.239     	1.492     	1.495       	1499.6    	1497.6    	1371.2    	21.86     
18.09     	INIŞ_ALGORITMASI	2.118     	1.470     	1.480       	1505.2    	1504.7    	1333.7    	21.92     
19.09     	INIŞ_ALGORITMASI	2.027     	0.992     	1.047       	1499.8    	1502.5    	1352.2    	21.89     
20.10     	INIŞ_ALGORITMASI	1.971     	0.230     	0.306       	1501.5    	1502.2    	1323.2    	21.94     
